source,year,month,platform,item_head,targets,done_ltrs,achieved_pct,est_ltr
secondary,2024,5,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2024,5,Amazon,COMMODITY,,51080.0,,51080.0
secondary,2024,5,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2024,5,Blinkit,COMMODITY,,4518.0,,4518.0
secondary,2024,5,Swiggy,COMMODITY,,0.0,,0.0
secondary,2024,5,Zepto,COMMODITY,,0.0,,0.0
secondary,2024,5,BigBasket,COMMODITY,,0.0,,0.0
secondary,2024,5,CityMall,COMMODITY,,0.0,,0.0
secondary,2024,5,Flipkart,COMMODITY,,0.0,,0.0
secondary,2024,5,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2024,6,Amazon,PREMIUM,,55473.5,,55473.5
secondary,2024,6,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2024,6,Blinkit,PREMIUM,,18930.0,,18930.0
secondary,2024,6,Swiggy,PREMIUM,,0.0,,0.0
secondary,2024,6,Zepto,PREMIUM,,0.0,,0.0
secondary,2024,6,BigBasket,PREMIUM,,0.0,,0.0
secondary,2024,6,Zomato,PREMIUM,,0.0,,0.0
secondary,2024,6,CityMall,PREMIUM,,0.0,,0.0
secondary,2024,6,Flipkart,PREMIUM,,0.0,,0.0
secondary,2024,6,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2024,6,Amazon,COMMODITY,,60243.0,,60243.0
secondary,2024,6,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2024,6,Blinkit,COMMODITY,,3859.0,,3859.0
secondary,2024,6,Swiggy,COMMODITY,,0.0,,0.0
secondary,2024,6,Zepto,COMMODITY,,0.0,,0.0
secondary,2024,6,BigBasket,COMMODITY,,0.0,,0.0
secondary,2024,6,CityMall,COMMODITY,,0.0,,0.0
secondary,2024,6,Flipkart,COMMODITY,,0.0,,0.0
secondary,2024,6,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2024,7,Amazon,PREMIUM,,68811.85,,68811.85
secondary,2024,7,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2024,7,Blinkit,PREMIUM,,21538.0,,21538.0
secondary,2024,7,Swiggy,PREMIUM,,0.0,,0.0
secondary,2024,7,Zepto,PREMIUM,,0.0,,0.0
secondary,2024,7,BigBasket,PREMIUM,,0.0,,0.0
secondary,2024,7,Zomato,PREMIUM,,0.0,,0.0
secondary,2024,7,CityMall,PREMIUM,,0.0,,0.0
secondary,2024,7,Flipkart,PREMIUM,,0.0,,0.0
secondary,2024,7,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2024,7,Amazon,COMMODITY,,73405.0,,73405.0
secondary,2024,7,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2024,7,Blinkit,COMMODITY,,4379.0,,4379.0
secondary,2024,7,Swiggy,COMMODITY,,0.0,,0.0
